Entity,Code,Year,"Javan Rhino population (AfRSG & other sources, 2022)"
Indonesia,IDN,2007,45
Indonesia,IDN,2009,40
Indonesia,IDN,2010,40
Indonesia,IDN,2012,58
Indonesia,IDN,2016,63
Indonesia,IDN,2017,59
Indonesia,IDN,2018,72
Indonesia,IDN,2021,76
Vietnam,VNM,2007,4
Vietnam,VNM,2009,3
Vietnam,VNM,2010,0
Vietnam,VNM,2011,0
Vietnam,VNM,2012,0
Vietnam,VNM,2013,0
Vietnam,VNM,2014,0
Vietnam,VNM,2015,0
Vietnam,VNM,2016,0
Vietnam,VNM,2017,0
Vietnam,VNM,2018,0
Vietnam,VNM,2019,0
Vietnam,VNM,2020,0
Vietnam,VNM,2021,0
World,OWID_WRL,1965,25
World,OWID_WRL,1975,30
World,OWID_WRL,1980,50
World,OWID_WRL,1985,60
World,OWID_WRL,1990,60
World,OWID_WRL,1995,50
World,OWID_WRL,2000,45
World,OWID_WRL,2005,40
World,OWID_WRL,2007,49
World,OWID_WRL,2009,44
World,OWID_WRL,2010,40
World,OWID_WRL,2012,40
World,OWID_WRL,2013,58
World,OWID_WRL,2016,63
World,OWID_WRL,2018,72
World,OWID_WRL,2021,76