Entity,Code,Year,"Sumatran Rhino population (AfRSG & other sources, 2019)"
Indonesia,IDN,2007,190
Indonesia,IDN,2009,170
Indonesia,IDN,2012,150
Indonesia,IDN,2016,76
Indonesia,IDN,2018,59
Indonesia,IDN,2021,41
Malaysia,MYS,2007,110
Malaysia,MYS,2009,60
Malaysia,MYS,2012,25
Malaysia,MYS,2016,0
Malaysia,MYS,2018,0
Malaysia,MYS,2021,0
World,OWID_WRL,1985,600
World,OWID_WRL,1995,300
World,OWID_WRL,2007,300
World,OWID_WRL,2009,230
World,OWID_WRL,2012,175
World,OWID_WRL,2013,100
World,OWID_WRL,2016,76
World,OWID_WRL,2018,59
World,OWID_WRL,2021,41